1. c 1011 - Noah Anderson
Overall Mark: 85 Final Grade: HD

2. C 1013 - Lucas Martinez
Overall Mark: 89.3 Final Grade: HD

3. c 1015 - Ethan Wilson
Overall Mark: 78.2 Final Grade: D

4. C 1017 - Alexander Harris
Overall Mark: 88.1 Final Grade: HD

5. C 1019 - Daniel Young
Overall Mark: 73.85 Final Grade: D

6. R 2012 - Mia Thompson
Overall Mark: 80.4 Final Grade: N

7. R 2014 - Charlotte Lopez
Overall Mark: 92.6 Final Grade: N

8. R 2016 - Amelia Lee
Overall Mark: 85.2 Final Grade: N

9. r 2018 - Harper Clark
Overall Mark: 89.6 Final Grade: N

